epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,92.4605,0.56565,3.06971,1.17077,0.00317,0.78754,0.12171,0.08033,0.94106,3.71826,1.50439,0.00018,0.00018,0.08218
2,173.409,0.54087,2.60621,1.14827,0.00467,0.91463,0.16141,0.1396,0.5249,3.24116,0.89989,0.000368997,0.000368997,0.063369
3,246.402,0.58492,2.44794,1.14932,0.41307,0.28196,0.23243,0.19604,0.64489,2.67814,1.08912,0.000553943,0.000553943,0.0445539
4,332.001,0.5389,2.19927,1.12451,0.11717,0.45266,0.21943,0.18209,0.63124,2.85865,1.03661,0.00073183,0.00073183,0.0257318
5,409.303,0.56105,2.19587,1.14432,0.16531,0.43392,0.23141,0.18676,0.75021,3.06078,1.07455,0.000899773,0.000899773,0.00689977
6,481.577,0.53,1.99119,1.095,0.28833,0.35968,0.29455,0.26167,0.69985,2.71009,1.04979,0.000933683,0.000933683,0.000933683
7,556.304,0.51928,1.9884,1.12701,0.51247,0.29076,0.25165,0.21239,0.74351,3.29206,1.06737,0.000905463,0.000905463,0.000905463
8,628.252,0.52883,1.95519,1.12776,0.21245,0.52498,0.29862,0.24697,0.65403,3.25582,1.00684,0.000872857,0.000872857,0.000872857
9,727.085,0.52282,1.9031,1.09047,0.21529,0.4387,0.29215,0.26491,0.53619,2.46451,0.88301,0.00083622,0.00083622,0.00083622
10,810.745,0.51451,1.83721,1.09201,0.25069,0.37097,0.29582,0.26774,0.56941,2.71368,0.89632,0.000795954,0.000795954,0.000795954
11,909.806,0.47382,1.76377,1.05283,0.27587,0.42536,0.3023,0.2462,0.66672,2.84704,0.98153,0.0007525,0.0007525,0.0007525
12,1004.82,0.49084,1.78845,1.07661,0.46294,0.40125,0.39292,0.34409,0.60075,2.26555,0.91492,0.000706335,0.000706335,0.000706335
13,1089.39,0.45383,1.69673,1.04012,0.355,0.52219,0.37086,0.31958,0.59824,2.24862,0.90071,0.000657963,0.000657963,0.000657963
14,1165.41,0.43279,1.62447,1.03622,0.31247,0.52286,0.36914,0.31076,0.54908,2.16613,0.87511,0.000607916,0.000607916,0.000607916
15,1239.44,0.42741,1.55798,1.05139,0.35706,0.44741,0.38847,0.34484,0.53523,2.06265,0.90111,0.000556742,0.000556742,0.000556742
16,1313.76,0.4217,1.55879,1.03825,0.34908,0.3638,0.36967,0.32856,0.52864,1.99211,0.93923,0.000505,0.000505,0.000505
17,1391.1,0.41765,1.46168,1.03873,0.41656,0.36518,0.42154,0.38438,0.52253,1.89801,0.92179,0.000453258,0.000453258,0.000453258
18,1471.18,0.37847,1.40176,1.01238,0.52136,0.46002,0.48163,0.43873,0.44984,1.76304,0.77061,0.000402084,0.000402084,0.000402084
19,1543.77,0.38079,1.37357,1.01197,0.60092,0.48705,0.52985,0.48314,0.4629,1.60447,0.78558,0.000352037,0.000352037,0.000352037
20,1617.81,0.37291,1.31381,1.00114,0.53778,0.51886,0.51913,0.48578,0.44473,1.57634,0.82016,0.000303665,0.000303665,0.000303665
21,1691.21,0.32999,1.2341,0.97638,0.5314,0.51369,0.52811,0.48703,0.4511,1.62896,0.86593,0.0002575,0.0002575,0.0002575
22,1764.46,0.31348,1.13085,0.97226,0.55145,0.45169,0.54435,0.50057,0.47856,1.70459,0.89212,0.000214046,0.000214046,0.000214046
23,1838.63,0.29803,1.10583,0.97185,0.44352,0.53154,0.53336,0.49148,0.42839,1.61465,0.84669,0.00017378,0.00017378,0.00017378
24,1910.76,0.27833,1.05108,0.9492,0.46617,0.56713,0.55446,0.51085,0.40759,1.49593,0.8181,0.000137143,0.000137143,0.000137143
25,1993.9,0.2747,0.96652,0.93565,0.49994,0.5611,0.55993,0.51683,0.39267,1.47345,0.79766,0.000104537,0.000104537,0.000104537
26,2068.98,0.2731,0.92491,0.93846,0.54837,0.51465,0.56507,0.52494,0.39746,1.4938,0.80137,7.63174e-05,7.63174e-05,7.63174e-05
27,2150.81,0.25543,0.91896,0.92686,0.54242,0.52834,0.5731,0.53232,0.40051,1.50535,0.79861,5.2795e-05,5.2795e-05,5.2795e-05
28,2232.84,0.26337,0.8899,0.92613,0.53836,0.54774,0.5814,0.53973,0.41645,1.49178,0.80839,3.4227e-05,3.4227e-05,3.4227e-05
29,2314.64,0.24692,0.85468,0.93466,0.5297,0.52521,0.57241,0.52938,0.42013,1.49199,0.81111,2.08169e-05,2.08169e-05,2.08169e-05
30,2399,0.23898,0.87353,0.91186,0.55305,0.55092,0.57651,0.5326,0.41731,1.48385,0.81096,1.27117e-05,1.27117e-05,1.27117e-05
